Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release
The Melancholy of Haruhi Suzumiya,3.97 Excellent,"Kyoto Animation Co., Ltd.",Light Novel,Slice of Life Comedy,~24min,TV-Series,14,2006
Teasing Master Takagi-san 3,4.01 Excellent,"Shin-ei Animation Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,12,2022
Major,3.98 Excellent,"Studio Hibari Co., Ltd.",Manga,Ganbatte,~25min,TV-Series,26,2004
Gate,3.97 Excellent,A-1 Pictures Inc.,Light Novel,Action,~24min,TV-Series,12,2015
Saga of Tanya the Evil,3.97 Excellent,Nut Inc.,Light Novel,Action,~24min,TV-Series,12,2017
Dan Da Dan: Season 2,4.03 Excellent,Science SARU Inc.,Manga,Action,~24min,TV-Series,12,2025
My Hero Academia Season 5,3.97 Excellent,BONES Inc.,Manga,Action Comedy,~24min,TV-Series,25,2021
Charlotte,3.97 Excellent,"P.A. Works Co., Ltd.",Original Work,Drama,~24min,TV-Series,13,2015
Kaleido Star,3.91 Excellent,Gonzo K.K.,Original Work,Ganbatte,~23min,TV-Series,51,2003
Date a Live IV,3.92 Excellent,GEEK TOYS Inc.,Light Novel,Action Comedy,~24min,TV-Series,12,2022
Makeine: Too Many Losing Heroines!,3.92 Excellent,A-1 Pictures Inc.,Light Novel,Romantic Comedy,~24min,TV-Series,12,2024
Arifureta: From Commonplace to World’s Strongest,3.90 Excellent,"WHITE FOX Co., Ltd., asread",Light Novel,Adventure,~24min,TV-Series,13,2019
Food Wars! The Fifth Plate,3.91 Excellent,"J.C.STAFF Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,13,2020
Blue Exorcist: The Blue Night Saga,3.95 Excellent,"studio VOLN Co., Ltd.",Manga,Action,~24min,TV-Series,12,2025
Moribito: Guardian of the Spirit,3.90 Excellent,"Production I.G., Inc.",Novel,Adventure,~25min,TV-Series,26,2007
SK8 the Infinity,3.91 Excellent,BONES Inc.,Original Work,Ganbatte,~24min,TV-Series,12,2021
Jellyfish Can’t Swim in the Night,3.93 Excellent,Doga Kobo,Original Work,Slice of Life Drama,~24min,TV-Series,12,2024
Welcome to Demon-School! Iruma-kun: Season 2,3.91 Excellent,BANDAI NAMCO Pictures Inc.,Manga,Comedy,~25min,TV-Series,21,2021
Baby Steps 2,3.91 Excellent,"Pierrot Co., Ltd.",Manga,Ganbatte,~25min,TV-Series,25,2015
Legend of the Galactic Heroes: Die Neue These,3.92 Excellent,"Production I.G., Inc.",Novel,Action Drama,~25min,TV-Series,12,2018
Junjo Romantica,3.90 Excellent,"Studio DEEN Co., Ltd.",Manga,Romance,~24min,TV-Series,12,2008
Durarara!!,3.89 Excellent,Brain’s Base,Light Novel,Action,~25min,TV-Series,24,2010
Yona of the Dawn,3.89 Excellent,"Pierrot Co., Ltd.",Manga,Adventure,~24min,TV-Series,24,2014
Is It Wrong to Try to Pick Up Girls in a Dungeon? II,3.89 Excellent,"J.C.STAFF Co., Ltd.",Light Novel,Action Comedy,~24min,TV-Series,12,2019
